p1,p1y,p2,p2y,p3,p3y,p4,p4y,p5,p5y
84,1.0,92,50.944,97,191.345,103,0.8099999999999999,107,1.0
115,1.0,126,72.037,129,241.394,137,0.7909999999999999,140,1.0
152,1.0,160,63.309,162,226.868,173,0.7579999999999999,175,1.0
190,1.0,197,48.752,200,94.788,210,0.43899999999999995,214,1.0
226,1.0,233,81.376,238,219.727,244,0.8279999999999998,248,1.0
256,1.0,265,83.353,267,257.996,276,0.69,280,1.0
291,1.0,298,69.115,301,239.868,310,0.9089999999999999,314,1.0
327,1.0,334,36.519,337,94.91,350,0.617,352,1.0
374,1.0,380,48.928,388,125.0,391,0.822,395,1.0
405,1.0,411,66.632,416,181.702,423,0.9219999999999999,426,1.0
436,1.0,443,65.533,445,235.84,454,0.7799999999999999,457,1.0
469,1.0,476,69.467,479,238.647,489,0.6949999999999998,492,1.0
511,1.0,518,35.854,521,124.268,528,0.3919999999999999,541,1.0
556,1.0,561,67.286,565,192.322,573,1.2959999999999998,575,1.0
586,1.0,593,69.527,595,253.113,603,0.7309999999999999,608,1.0
618,1.0,624,66.539,628,240.417,634,0.7479999999999999,639,1.0
650,1.0,656,54.311,659,201.111,668,0.7469999999999999,670,1.0
688,1.0,698,48.647,702,77.576,707,0.5099999999999999,711,1.0
724,1.0,732,89.577,733,279.602,743,0.7659999999999999,746,1.0
757,1.0,765,75.086,767,263.062,775,1.079,779,1.0
789,1.0,796,75.306,799,258.301,807,1.1039999999999999,811,1.0
823,1.0,829,42.094,832,110.046,842,0.6819999999999999,844,1.0
862,1.0,867,58.03,871,154.175,878,1.0559999999999998,881,1.0
894,1.0,899,68.17,902,263.733,910,0.9239999999999999,914,1.0
925,1.0,931,68.961,935,258.484,940,0.7209999999999999,944,1.0
956,1.0,963,67.132,965,261.841,974,0.3889999999999999,979,1.0
