0,1,2,3,4
8.0,5.0,6.0,4.0,8.0
11.0,3.0,8.0,3.0,12.0
8.0,2.0,11.0,2.0,15.0
7.0,3.0,10.0,4.0,12.0
7.0,5.0,6.0,4.0,8.0
9.0,2.0,9.0,4.0,11.0
7.0,3.0,9.0,4.0,13.0
7.0,3.0,13.0,2.0,22.0
6.0,8.0,3.0,4.0,10.0
6.0,5.0,7.0,3.0,10.0
7.0,2.0,9.0,3.0,12.0
7.0,3.0,10.0,3.0,19.0
7.0,3.0,7.0,13.0,15.0
5.0,4.0,8.0,2.0,11.0
7.0,2.0,8.0,5.0,10.0
6.0,4.0,6.0,5.0,11.0
6.0,3.0,9.0,2.0,18.0
10.0,4.0,5.0,4.0,13.0
8.0,1.0,10.0,3.0,11.0
8.0,2.0,8.0,4.0,10.0
7.0,3.0,8.0,4.0,12.0
6.0,3.0,10.0,2.0,18.0
5.0,4.0,7.0,3.0,13.0
5.0,3.0,8.0,4.0,11.0
6.0,4.0,5.0,4.0,12.0
7.0,2.0,9.0,5.0,0.0
