p1,p1y,p2,p2y,p3,p3y,p4,p4y,p5,p5y
103,1.0,111,50.944,116,191.345,122,0.8099999999999999,126,1.0
134,1.0,145,72.037,148,241.394,156,0.7909999999999999,159,1.0
171,1.0,179,63.309,181,226.868,192,0.7579999999999999,194,1.0
209,1.0,216,48.752,219,94.788,229,0.43899999999999995,233,1.0
245,1.0,252,81.376,257,219.727,263,0.8279999999999998,267,1.0
275,1.0,284,83.353,286,257.996,295,0.69,299,1.0
310,1.0,317,69.115,320,239.868,329,0.9089999999999999,333,1.0
346,1.0,353,36.519,356,94.91,369,0.617,371,1.0
393,1.0,399,48.928,407,125.0,410,0.822,414,1.0
424,1.0,430,66.632,435,181.702,442,0.9219999999999999,445,1.0
455,1.0,462,65.533,464,235.84,473,0.7799999999999999,476,1.0
488,1.0,495,69.467,498,238.647,508,0.6949999999999998,511,1.0
530,1.0,537,35.854,540,124.268,547,0.3919999999999999,560,1.0
575,1.0,580,67.286,584,192.322,592,1.2959999999999998,594,1.0
605,1.0,612,69.527,614,253.113,622,0.7309999999999999,627,1.0
637,1.0,643,66.539,647,240.417,653,0.7479999999999999,658,1.0
669,1.0,675,54.311,678,201.111,687,0.7469999999999999,689,1.0
707,1.0,717,48.647,721,77.576,726,0.5099999999999999,730,1.0
743,1.0,751,89.577,752,279.602,762,0.7659999999999999,765,1.0
776,1.0,784,75.086,786,263.062,794,1.079,798,1.0
808,1.0,815,75.306,818,258.301,826,1.1039999999999999,830,1.0
842,1.0,848,42.094,851,110.046,861,0.6819999999999999,863,1.0
881,1.0,886,58.03,890,154.175,897,1.0559999999999998,900,1.0
913,1.0,918,68.17,921,263.733,929,0.9239999999999999,933,1.0
944,1.0,950,68.961,954,258.484,959,0.7209999999999999,963,1.0
975,1.0,982,67.132,984,261.841,993,0.3889999999999999,998,1.0
