0,1,2,3,4
4.0,4.0,7.0,6.0,10.0
10.0,4.0,7.0,5.0,10.0
6.0,3.0,0.0,11.0,9.0
8.0,3.0,8.0,5.0,10.0
9.0,3.0,10.0,4.0,12.0
7.0,4.0,5.0,5.0,9.0
8.0,4.0,6.0,4.0,8.0
9.0,5.0,5.0,4.0,12.0
6.0,3.0,8.0,3.0,14.0
6.0,5.0,5.0,5.0,12.0
6.0,5.0,5.0,5.0,11.0
6.0,2.0,7.0,3.0,14.0
7.0,2.0,9.0,6.0,14.0
6.0,4.0,7.0,6.0,9.0
9.0,3.0,7.0,5.0,12.0
6.0,3.0,7.0,5.0,12.0
7.0,2.0,8.0,7.0,11.0
7.0,3.0,10.0,-6.0,25.0
7.0,4.0,6.0,5.0,13.0
6.0,6.0,4.0,4.0,12.0
5.0,5.0,6.0,5.0,11.0
7.0,3.0,9.0,6.0,16.0
6.0,3.0,9.0,5.0,12.0
8.0,3.0,7.0,6.0,11.0
6.0,2.0,7.0,5.0,11.0
7.0,9.0,2.0,6.0,14.0
6.0,3.0,10.0,6.0,11.0
4.0,2.0,-3.0,4.0,0.0
